name,description,date,amount
4-L ENGINEERING COMPANY INC,Other Contracted Svces/Labor,10/7/10,2234
4-L ENGINEERING COMPANY INC,Other Contracted Svces/Labor,10/7/10,1194
4-L ENGINEERING COMPANY INC,Repairs-Buildings,10/14/10,4639.77
4-L ENGINEERING COMPANY INC,Repairs-Buildings,10/14/10,710
4-L ENGINEERING COMPANY INC,Repairs-Buildings,10/14/10,710
4-L ENGINEERING COMPANY INC,Repairs-Buildings,10/21/10,7799
4-L ENGINEERING COMPANY INC,Service Contracts,10/26/10,2416
4-L ENGINEERING COMPANY INC,Service Contracts,10/26/10,2416
4-L ENGINEERING COMPANY INC,Service Contracts,10/28/10,3344
4-L ENGINEERING COMPANY INC,Service Contracts,10/28/10,1705
4-L ENGINEERING COMPANY INC,Service Contracts,10/28/10,421.72
4-L ENGINEERING COMPANY INC,Other Contracted Svces/Labor,11/2/10,334.5
4-L ENGINEERING COMPANY INC,Service Contracts,11/9/10,2234
4-L ENGINEERING COMPANY INC,Service Contracts,11/9/10,831
4-L ENGINEERING COMPANY INC,Service Contracts,11/9/10,1194
4-L ENGINEERING COMPANY INC,Service Contracts,11/9/10,710
4-L ENGINEERING COMPANY INC,Service Contracts,11/11/10,2416
4-L ENGINEERING COMPANY INC,Service Contracts,11/11/10,3344
4-L ENGINEERING COMPANY INC,Repairs-Physical Plant Equipment,12/7/10,160
4-L ENGINEERING COMPANY INC,Repairs-Physical Plant Equipment,12/7/10,1268.18
4-L ENGINEERING COMPANY INC,Service Contracts,12/21/10,163.85
4-L ENGINEERING COMPANY INC,Service Contracts,12/21/10,160
4-L ENGINEERING COMPANY INC,Other Contracted Svces/Labor,1/4/11,275.52
4-L ENGINEERING COMPANY INC,Other Contracted Svces/Labor,1/4/11,191.77
4-L ENGINEERING COMPANY INC,Other Contracted Svces/Labor,1/4/11,515.54
4-L ENGINEERING COMPANY INC,Other Contracted Svces/Labor,1/4/11,771.7
4-L ENGINEERING COMPANY INC,Other Contracted Svces/Labor,1/4/11,2861.75
4-L ENGINEERING COMPANY INC,Other Contracted Svces/Labor,1/4/11,426.8
4-L ENGINEERING COMPANY INC,Other Contracted Svces/Labor,1/4/11,1508.93
4-L ENGINEERING COMPANY INC,Clearing - AP,1/6/11,-557.54
4-L ENGINEERING COMPANY INC,Clearing - AP,1/6/11,557.54
4-L ENGINEERING COMPANY INC,Service Contracts,1/11/11,1134.4
4-L ENGINEERING COMPANY INC,Repairs-Physical Plant Equipment,1/13/11,49429.04
4-L ENGINEERING COMPANY INC,Repairs-Physical Plant Equipment,1/13/11,900
4-L ENGINEERING COMPANY INC,Repairs-Physical Plant Equipment,1/13/11,1820.25
4-L ENGINEERING COMPANY INC,Repairs-Physical Plant Equipment,1/19/11,980
4-L ENGINEERING COMPANY INC,Service Contracts,1/25/11,557.54
4-L ENGINEERING COMPANY INC,Service Contracts,1/25/11,4849
4-L ENGINEERING COMPANY INC,Service Contracts,1/25/11,936.49
4-L ENGINEERING COMPANY INC,Repairs-Physical Plant Equipment,1/27/11,2342.78
4-L ENGINEERING COMPANY INC,Service Contracts,2/22/11,3982
4-L ENGINEERING COMPANY INC,Repairs-Physical Plant Equipment,2/22/11,855.35
4-L ENGINEERING COMPANY INC,Other Contracted Svces/Labor,2/24/11,174
4-L ENGINEERING COMPANY INC,Repairs-Physical Plant Equipment,2/25/11,3886.22
4-L ENGINEERING COMPANY INC,Other Contracted Svces/Labor,3/10/11,174
4-L ENGINEERING COMPANY INC,Other Contracted Svces/Labor,3/10/11,219
4-L ENGINEERING COMPANY INC,Repairs-Physical Plant Equipment,3/24/11,325
4-L ENGINEERING COMPANY INC,Repairs-Physical Plant Equipment,3/31/11,475.28
4-L ENGINEERING COMPANY INC,Repairs-Physical Plant Equipment,4/5/11,7445.32
4-L ENGINEERING COMPANY INC,Repairs-Physical Plant Equipment,4/5/11,5604.6
911 SECURITY CAMERAS INC,Minor Equipment,9/2/10,4559
911 SECURITY CAMERAS INC,Repairs-Other,3/24/11,95
911 SECURITY CAMERAS INC,Repairs-Other,5/26/11,190
@COURIER,Other Contracted Svces/Labor,9/21/10,47.55
@COURIER,Other Contracted Svces/Labor,10/14/10,72.2
@COURIER,Other Contracted Svces/Labor,12/21/10,130.5
@COURIER,Other Contracted Svces/Labor,1/25/11,54.14
@COURIER,Postage & Freight,5/10/11,18.75
@COURIER,Postage & Freight,6/7/11,20.32
@COURIER,Postage & Freight,6/30/11,19.05
@COURIER,Other Contracted Svces/Labor,8/5/11,51.99
"A & B MANAGEMENT, INC",Refreshments,9/8/10,101.5
"A & B MANAGEMENT, INC",Refreshments,9/8/10,112
"A & B MANAGEMENT, INC",Refreshments,9/8/10,145
"A & B MANAGEMENT, INC",Refreshments,9/9/10,3141.93
"A & B MANAGEMENT, INC",Refreshments,9/9/10,105
"A & B MANAGEMENT, INC",Refreshments,9/9/10,158
"A & B MANAGEMENT, INC",Refreshments,9/9/10,116
"A & B MANAGEMENT, INC",Refreshments,9/9/10,148.5
"A & B MANAGEMENT, INC",Refreshments,10/12/10,1724.06
"A & B MANAGEMENT, INC",Staff Development,10/28/10,2042.31
"A & B MANAGEMENT, INC",Refreshments,12/9/10,1888.01
"A & B MANAGEMENT, INC",Refreshments,12/16/10,305.56
"A & B MANAGEMENT, INC",Refreshments,12/16/10,396.5
"A & B MANAGEMENT, INC",Refreshments,12/16/10,339.5
"A & B MANAGEMENT, INC",Refreshments,1/11/11,535.16
"A & B MANAGEMENT, INC",Official Functions,1/19/11,1787.5
"A & B MANAGEMENT, INC",Official Functions,3/10/11,473.5
"A & B MANAGEMENT, INC",Refreshments,3/17/11,292.5
"A & B MANAGEMENT, INC",Refreshments,3/17/11,112.5
"A & B MANAGEMENT, INC",Refreshments,3/22/11,941.42
"A & B MANAGEMENT, INC",Refreshments,3/22/11,545.26
"A & B MANAGEMENT, INC",Clearing,3/24/11,130
"A & B MANAGEMENT, INC",Official Functions,4/14/11,455
"A & B MANAGEMENT, INC",Refreshments,5/24/11,401
"A & B MANAGEMENT, INC",Refreshments,5/24/11,1408.64
"A & B MANAGEMENT, INC",Official Functions,6/2/11,3838.79
"A & B MANAGEMENT, INC",Refreshments,7/7/11,97.5
"A & B MANAGEMENT, INC",Refreshments,7/7/11,758.47
"A & B MANAGEMENT, INC",Refreshments,7/7/11,7524.22
"A & B MANAGEMENT, INC",Refreshments,8/23/11,402.5
"A & B MANAGEMENT, INC",Refreshments,8/23/11,558.5
"A & B MANAGEMENT, INC",Refreshments,8/23/11,3586.26
"A & B MANAGEMENT, INC",Refreshments,8/23/11,300
"A & B MANAGEMENT, INC",Refreshments,8/23/11,421
"A & B MANAGEMENT, INC",Refreshments,8/23/11,509.19
"A & B MANAGEMENT, INC",Refreshments,8/23/11,756
"A & B MANAGEMENT, INC",Refreshments,8/23/11,5916.21
A & W BEARINGS & SUPPLY CO INC HVAC,Supplies,9/8/10,1236.95
A & W BEARINGS & SUPPLY CO INC HVAC,Supplies,9/16/10,275.52
A & W BEARINGS & SUPPLY CO INC HVAC,Supplies,10/28/10,98.38
A & W BEARINGS & SUPPLY CO INC HVAC,Supplies,11/18/10,60.6
A & W BEARINGS & SUPPLY CO INC HVAC,Supplies,12/2/10,97.51
A & W BEARINGS & SUPPLY CO INC HVAC,Supplies,12/2/10,253.14
A & W BEARINGS & SUPPLY CO INC HVAC,Supplies,12/21/10,167.22
A & W BEARINGS & SUPPLY CO INC HVAC,Supplies,3/3/11,233.28
A & W BEARINGS & SUPPLY CO INC HVAC,Supplies,4/21/11,50.96
A & W BEARINGS & SUPPLY CO INC HVAC,Supplies,7/14/11,181.53
A & W BEARINGS & SUPPLY CO INC HVAC,Supplies,7/21/11,308.22
A & W BEARINGS & SUPPLY CO INC HVAC,Supplies,8/11/11,330.39
A & W BEARINGS & SUPPLY CO INC HVAC,Supplies,8/23/11,44.88
A BARGAIN APPLIANCE REPAIR INC,Repairs-Classroom Equipment,11/4/10,326.05
A BETTER ANSWER,Other Contracted Svces/Labor,4/21/11,734.07
A BETTER ANSWER,Other Contracted Svces/Labor,5/19/11,865.46
A BETTER ANSWER,Other Contracted Svces/Labor,6/1/11,706.26
A BETTER ANSWER,Other Contracted Svces/Labor,7/14/11,723.11
A BETTER ANSWER,Other Contracted Svces/Labor,8/11/11,701.2
A BETTER ANSWER INC,Other Contracted Svces/Labor,9/30/10,1491.28
A BETTER ANSWER INC,Other Contracted Svces/Labor,11/4/10,1138.56
A BETTER ANSWER INC,Other Contracted Svces/Labor,12/2/10,979.52
A BETTER ANSWER INC,Other Contracted Svces/Labor,12/14/10,1649.16
A BETTER ANSWER INC,Other Contracted Svces/Labor,1/11/11,1116.34
A BETTER ANSWER INC,Other Contracted Svces/Labor,2/11/11,783.11
A BETTER ANSWER INC,Other Contracted Svces/Labor,3/24/11,1090.11
A CREATIVE FOCUS LEARNING CNTR,Other Contracted Svces/Labor,10/26/10,500
A CREATIVE FOCUS LEARNING CNTR,Other Contracted Svces/Labor,11/16/10,400
A CREATIVE FOCUS LEARNING CNTR,Other Contracted Svces/Labor,12/16/10,500
A CREATIVE FOCUS LEARNING CNTR,Other Contracted Svces/Labor,1/4/11,100
A CREATIVE FOCUS LEARNING CNTR,Other Contracted Svces/Labor,2/22/11,300
A CREATIVE FOCUS LEARNING CNTR,Other Contracted Svces/Labor,4/7/11,400
A CREATIVE FOCUS LEARNING CNTR,Other Contracted Svces/Labor,4/14/11,400
A CREATIVE FOCUS LEARNING CNTR,Other Contracted Svces/Labor,5/19/11,400
A CREATIVE FOCUS LEARNING CNTR,Other Contracted Svces/Labor,7/7/11,200
A CREATIVE FOCUS LEARNING CNTR,Other Contracted Svces/Labor,7/21/11,400
A CREATIVE FOCUS LEARNING CNTR,Other Contracted Svces/Labor,8/23/11,100
A DAIGGER & CO INC,Classroom Supplies,9/14/10,776.07
A DAIGGER & CO INC,Classroom Supplies,10/5/10,193.86
A DAIGGER & CO INC,Classroom Supplies,10/5/10,390.11
A DAIGGER & CO INC,Classroom Supplies,10/19/10,126.76
A DAIGGER & CO INC,Classroom Supplies,10/21/10,216.28
A DAIGGER & CO INC,Classroom Supplies,10/26/10,112.5
A DAIGGER & CO INC,Classroom Supplies,4/12/11,-29.99
A DAIGGER & CO INC,Classroom Supplies,4/12/11,293.74
A TOUCH OF HEAVEN FLORAL DESIG,Miscellaneous,10/5/10,171.5
A TOUCH OF HEAVEN FLORAL DESIG,Miscellaneous,1/25/11,61.5
A TOUCH OF HEAVEN FLORAL DESIG,Miscellaneous,2/24/11,279
A TOUCH OF HEAVEN FLORAL DESIG,Miscellaneous,3/15/11,123
A TOUCH OF HEAVEN FLORAL DESIG,Miscellaneous,3/31/11,61.5
A TOUCH OF HEAVEN FLORAL DESIG,Official Functions,4/26/11,466.5
A TOUCH OF HEAVEN FLORAL DESIG,Miscellaneous,5/26/11,123
A TOUCH OF HEAVEN FLORAL DESIG,Miscellaneous,6/7/11,111.5
A TOUCH OF HEAVEN FLORAL DESIG,Miscellaneous,7/12/11,184.5
A TOUCH OF HEAVEN FLORAL DESIG,Miscellaneous,8/9/11,184
A&B SUPPLY INC,Maintenance Supplies,10/14/10,14.16
A&B SUPPLY INC,Maintenance Supplies,10/14/10,7.16
A&B SUPPLY INC,Maintenance Supplies,11/16/10,28.68
A&B SUPPLY INC,Maintenance Supplies,12/7/10,4.98
A&B SUPPLY INC,Maintenance Supplies,12/21/10,9.25
A&B SUPPLY INC,Departmental Supplies,3/31/11,64.82
A&B SUPPLY INC,Departmental Supplies,6/7/11,26.94
A-1 AUTOMOTIVE EQUIPMENT REPAI,Repairs-Classroom Equipment,7/26/11,193.17
A-1 FREEMAN NORTH AMERICAN,Maintenance Supplies,9/8/10,695
A-1 FREEMAN NORTH AMERICAN,Maintenance Supplies,10/26/10,609
"A-1 GRASS, SAND & STONE",Maintenance Supplies,7/21/11,483.3
"A-1 GRASS, SAND & STONE",Maintenance Supplies,8/11/11,966.6
A-1 LOCKSMITHS,Other Contracted Svces/Labor,8/16/11,175
A-PLUS EVENTS LLC,Official Functions,4/19/11,150
A-SIGN COMPANY,Maintenance Supplies,10/5/10,903.88
A.C.I.S.,Non-Inv Equipment,9/8/10,6978.79
A.C.I.S.,Repairs-Physical Plant Equipment,9/14/10,2026.34
A.C.I.S.,Service Contracts,1/13/11,308.6
A.C.I.S.,Service Contracts,1/13/11,664.22
A.C.I.S.,Service Contracts,1/13/11,1909.44
A.C.I.S.,Other Contracted Svces/Labor,1/20/11,3059.79
A.C.I.S.,Other Contracted Svces/Labor,1/20/11,2374.6
A.C.I.S.,Service Contracts,2/17/11,2374.6
A.C.I.S.,Other Contracted Svces/Labor,2/17/11,3059.79
A.C.I.S.,Service Contracts,3/10/11,2374.6
A.C.I.S.,Service Contracts,3/10/11,1909.44
A.C.I.S.,Other Contracted Svces/Labor,4/5/11,14578
A.C.I.S.,Service Contracts,4/7/11,1909.44
A.C.I.S.,Service Contracts,4/12/11,2374.6
A.C.I.S.,Service Contracts,4/12/11,3059.79
A.C.I.S.,Other Contracted Svces/Labor,5/3/11,287.5
A.C.I.S.,Repairs-Physical Plant Equipment,5/5/11,2271
A.C.I.S.,Repairs-Physical Plant Equipment,5/5/11,12442
A.C.I.S.,Repairs-Physical Plant Equipment,5/5/11,8338
A.C.I.S.,Repairs-Physical Plant Equipment,5/5/11,600
A.C.I.S.,Other Contracted Svces/Labor,5/17/11,2374.6
A.C.I.S.,Other Contracted Svces/Labor,5/17/11,3059.79
A.C.I.S.,Clearing - AP,5/19/11,-1955.8
A.C.I.S.,Clearing - AP,5/19/11,1955.8
A.C.I.S.,Repairs-Physical Plant Equipment,5/24/11,12458
A.C.I.S.,Clearing - AP,5/24/11,5220
A.C.I.S.,Clearing - AP,5/24/11,-5220
A.C.I.S.,Service Contracts,5/26/11,308.6
A.C.I.S.,Service Contracts,5/26/11,308.6
A.C.I.S.,Service Contracts,5/26/11,308.6
A.C.I.S.,Service Contracts,5/26/11,308.6
A.C.I.S.,Service Contracts,5/26/11,308.6
A.C.I.S.,Service Contracts,5/26/11,664.22
A.C.I.S.,Service Contracts,5/26/11,664.22
A.C.I.S.,Service Contracts,5/26/11,664.22
A.C.I.S.,Service Contracts,5/26/11,664.22
A.C.I.S.,Service Contracts,5/26/11,3058
A.C.I.S.,Service Contracts,5/26/11,8033
A.C.I.S.,Other Contracted Svces/Labor,6/2/11,240
A.C.I.S.,Repairs-Physical Plant Equipment,6/7/11,1593.34
A.C.I.S.,Service Contracts,6/7/11,664.22
A.C.I.S.,Service Contracts,6/7/11,308.6
A.C.I.S.,Service Contracts,6/7/11,1909.44
A.C.I.S.,Service Contracts,6/7/11,1909.44
A.C.I.S.,Service Contracts,6/7/11,1909.44
A.C.I.S.,Service Contracts,6/7/11,1075
A.C.I.S.,Service Contracts,6/7/11,702
A.C.I.S.,Repairs-Physical Plant Equipment,6/9/11,2130
A.C.I.S.,Repairs-Physical Plant Equipment,6/14/11,3891.67
A.C.I.S.,Other Contracted Svces/Labor,6/16/11,2374.6
A.C.I.S.,Other Contracted Svces/Labor,6/21/11,3059.79
A.C.I.S.,Service Contracts,7/7/11,1909.44
A.C.I.S.,Service Contracts,7/7/11,664.22
A.C.I.S.,Service Contracts,7/7/11,308.6
A.C.I.S.,Other Contracted Svces/Labor,7/12/11,2374.6
A.C.I.S.,Other Contracted Svces/Labor,7/19/11,3059.79
A.C.I.S.,Repairs-Physical Plant Equipment,7/28/11,3390
A.C.I.S.,Other Contracted Svces/Labor,8/9/11,2374.6
A.C.I.S.,Other Contracted Svces/Labor,8/9/11,3059.79
A.C.I.S.,Other Contracted Svces/Labor,8/9/11,3059.79
A.C.I.S.,Service Contracts,8/11/11,1909.44
A.C.I.S.,Service Contracts,8/11/11,664.22
A.C.I.S.,Repairs-Physical Plant Equipment,8/23/11,4245
A.C.I.S.,Repairs-Physical Plant Equipment,8/23/11,750
AAA ELECTRIC MOTORS,Other Contracted Svces/Labor,9/2/10,200
AAA ELECTRIC MOTORS,Other Contracted Svces/Labor,9/2/10,361.75
AAA ELECTRIC MOTORS,Other Contracted Svces/Labor,9/2/10,423.3
AACA,Classroom Supplies,10/5/10,407.07
AACA,Classroom Supplies,10/19/10,269.41
AACA,Classroom Supplies,11/4/10,89.51
AACA,Classroom Supplies,1/4/11,1460
AACA,Classroom Supplies,1/4/11,144.8
AACA,Classroom Supplies,2/11/11,1006.88
AACA,Classroom Supplies,2/17/11,392.03
AACA,Classroom Supplies,3/1/11,399.22
AACA,Classroom Supplies,3/3/11,168.4
AACA,Classroom Supplies,3/29/11,-1090
AACA,Classroom Supplies,3/29/11,775.07
AACA,Classroom Supplies,3/29/11,98.05
AACA,Classroom Supplies,3/29/11,524.97
AACA,Classroom Supplies,5/3/11,68.2
AACA,Classroom Supplies,5/26/11,2167.93
AACA,Classroom Supplies,6/16/11,338.92
AACA,Classroom Supplies,7/12/11,135.99
AACC CONVENTION,Seminar/Registration Fees,11/16/10,900
AACC CONVENTION,Seminar/Registration Fees,12/21/10,650
AACC CONVENTION,Seminar/Registration Fees,2/22/11,735
AACC CONVENTION,Travel-Out of Area,4/7/11,450
AACC CONVENTION,Seminar/Registration Fees,4/12/11,199
AACC/CCSN,Memberships,10/7/10,7590
AACC/CCSN,Seminar/Registration Fees,12/7/10,500
AACC/CCSN,Travel-Out of Area,12/16/10,735
AACC/CCSN,Seminar/Registration Fees,1/11/11,650
AACC/CCSN,Seminar/Registration Fees,1/19/11,650
AACC/CCSN,Seminar/Registration Fees,3/1/11,900
AACC/CCSN,Seminar/Registration Fees,4/7/11,850
AACRAO,Memberships,9/21/10,1218
AACRAO,Memberships,9/23/10,1015
AACRAO,"Books, Booklets & Tapes",1/6/11,258.5
AACRAO,"Books, Booklets & Tapes",4/5/11,1175.62
AACRAO,"Books, Booklets & Tapes",4/21/11,72.5
AACRAO,Prepaid Expenditures,6/21/11,1218
AACRAO,Memberships,7/26/11,1015
AAF INTERNATIONAL,Maintenance Supplies,9/8/10,2896.74
AAF INTERNATIONAL HVAC,Supplies,9/21/10,848.58
AAF INTERNATIONAL HVAC,Supplies,9/21/10,1075.2
AAF INTERNATIONAL HVAC,Supplies,9/21/10,-1175.09
AAF INTERNATIONAL HVAC,Supplies,9/30/10,895.56
AAF INTERNATIONAL,Maintenance Supplies,11/2/10,8585.08
AAF INTERNATIONAL,Maintenance Supplies,11/4/10,1855.32
AAF INTERNATIONAL,Repairs-Buildings,2/17/11,1244.16
AAF INTERNATIONAL,Repairs-Buildings,2/17/11,1376.04
AAF INTERNATIONAL,Repairs-Buildings,2/17/11,117.36
AAF INTERNATIONAL,Repairs-Buildings,2/17/11,843.84
AAF INTERNATIONAL,Repairs-Buildings,2/17/11,3419.04
AAF INTERNATIONAL HVAC,Supplies,3/8/11,5528.28
AAF INTERNATIONAL HVAC,Supplies,3/8/11,4399.2
AAF INTERNATIONAL HVAC,Supplies,3/8/11,3024.24
AAF INTERNATIONAL,Repairs-Buildings,3/10/11,175.2
AAF INTERNATIONAL,Repairs-Buildings,3/10/11,2915.04
AAF INTERNATIONAL,Repairs-Buildings,4/28/11,713.52
AAF INTERNATIONAL HVAC,Supplies,5/5/11,3746.88
AAF INTERNATIONAL HVAC,Supplies,5/12/11,1541.78
AAF INTERNATIONAL HVAC,Supplies,6/14/11,568.8
AAF INTERNATIONAL HVAC,Supplies,6/16/11,2772
AAF INTERNATIONAL,Maintenance Supplies,6/23/11,1196.06
AAF INTERNATIONAL,Maintenance Supplies,7/21/11,262.08
AAFPE HEADQUARTERS,Memberships,12/9/10,450
AALHE,Seminar/Registration Fees,5/17/11,280
AARON CLARK,Athletic Officials,2/22/11,100
AARON M. YOUNG,Athletic Officials,5/17/11,125
AARON M. YOUNG,Athletic Officials,5/26/11,350
AASHE,Seminar/Registration Fees,9/9/10,425
AASHE,Seminar/Registration Fees,9/21/10,350
AASHE,Seminar/Registration Fees,9/23/10,400
AASHE,Seminar/Registration Fees,9/28/10,350
AASHE,Memberships,12/9/10,2400
AASTRA USA INC,Telephone-Local Service,9/2/10,780
AASTRA USA INC,Clearing - AP,9/8/10,-1500
AASTRA USA INC,Clearing - AP,9/8/10,1500
AASTRA USA INC,Departmental Supplies,9/16/10,825.11
AASTRA USA INC,Telephone-Local Service,10/5/10,780
AASTRA USA INC,Other Contracted Svces/Labor,10/7/10,1944
AASTRA USA INC,Info. Tech.-Maintenance & Repair,10/21/10,109355.72
AASTRA USA INC,Telephone-Local Service,11/2/10,780
AASTRA USA INC,Other Contracted Svces/Labor,11/24/10,780
AASTRA USA INC,Other Contracted Svces/Labor,1/19/11,780
AASTRA USA INC,Seminar/Registration Fees,1/25/11,3250
AASTRA USA INC,Seminar/Registration Fees,1/25/11,1625
AASTRA USA INC,Seminar/Registration Fees,1/25/11,5000
AASTRA USA INC,Other Contracted Svces/Labor,2/8/11,780
AASTRA USA INC,Other Contracted Svces/Labor,3/1/11,780
AASTRA USA INC,Non-Inv Equipment,3/10/11,231.15
AASTRA USA INC,Clearing - AP,3/22/11,13342.62
AASTRA USA INC,Clearing - AP,3/22/11,-13342.62
AASTRA USA INC,Other Contracted Svces/Labor,3/24/11,780
AASTRA USA INC,Other Contracted Svces/Labor,4/28/11,780
AASTRA USA INC,Other Contracted Svces/Labor,5/26/11,780
AASTRA USA INC,Equipment-Special-Inventoriable,6/14/11,57753.09
AASTRA USA INC,Non-Inv Equipment,8/18/11,75.66
ABADI ARCHITECTURE & ACCESSIBI,Consultant,2/17/11,41933.15
ABADI ARCHITECTURE & ACCESSIBI,Consultant,5/19/11,33661.62
ABATIX CORPORATION,Maintenance Supplies,6/9/11,281.5
